705929 	 0.1671
705930 	 0.1529
705931 	 0.1501
705932 	 0.1529
705933 	 0.1501
705934 	 0.1501
705935 	 0.1444
705936 	 0.1444
705937 	 0.1444
705938 	 0.1501
705939 	 0.2237
705940 	 0.2322
705941 	 0.2010
705942 	 0.2010
705943 	 0.2265
705944 	 0.3681
705945 	 0.2633
705946 	 0.1841
705947 	 0.1586
705948 	 0.1501
705949 	 0.1444
705950 	 0.1444
705951 	 0.1501
705952 	 0.1784
705953 	 0.1614
705954 	 0.2662
705955 	 0.2095
705956 	 0.1614
705957 	 0.1501
705958 	 0.1501
705959 	 0.1444
705960 	 0.1388
705961 	 0.1388
705962 	 0.1303
705963 	 0.1303
705964 	 0.1274
705965 	 0.1274
705966 	 0.1274
705967 	 0.1274
705968 	 0.1218
705969 	 0.1274
705970 	 0.7646
705971 	 2.8600
705972 	 0.5097
705973 	 0.2464
705974 	 0.1897
705975 	 0.1671
705976 	 2.1804
705977 	 2.1804
705978 	 0.5663
705979 	 0.5663
705980 	 0.5663
705981 	 0.5663
705982 	 0.3398
705983 	 0.3398
705984 	 0.2407
705985 	 0.2407
705986 	 0.2407
705987 	 0.1756
705988 	 0.1756
705989 	 0.1756
705990 	 0.1501
705991 	 0.1501
705992 	 0.1444
705993 	 0.1982
705994 	 0.1699
705995 	 0.1501
705996 	 0.1501
705997 	 4.1059
705998 	 4.1626
705999 	 0.6230
706000 	 0.3398
706001 	 0.2718
706002 	 0.2633
706003 	 0.2095
706004 	 0.1841
706005 	 0.1671
706006 	 0.1586
706007 	 0.1529
706008 	 0.1784
706009 	 0.3115
706010 	 0.6230
706011 	 0.9061
706012 	 1.1893
706013 	 1.0194
706014 	 0.5663
706015 	 0.4248
706016 	 1.1044
706017 	 0.3681
706018 	 0.2379
706019 	 0.2010
706020 	 0.1756
706021 	 0.1671
706022 	 0.1586
706023 	 0.1501
706024 	 0.1501
706025 	 0.1388
706026 	 0.1388
706027 	 0.1359
706028 	 0.1303
706029 	 0.4814
706030 	 4.3042
706031 	 0.9628
706032 	 0.5097
706033 	 0.3681
706034 	 0.8212
706035 	 0.8212
706036 	 1.0477
706037 	 1.6141
706038 	 1.1327
706039 	 0.8778
706040 	 0.8212
706041 	 1.9255
706042 	 0.8212
706043 	 0.4814
706044 	 0.3398
706045 	 1.1893
706046 	 0.6230
706047 	 0.3681
706048 	 0.3398
706049 	 0.3681
706050 	 0.2180
706051 	 0.1926
706052 	 0.1841
706053 	 0.2407
706054 	 0.6230
706055 	 0.2379
706056 	 0.2322
706057 	 0.4814
706058 	 0.3115
706059 	 0.2633
706060 	 0.1926
706061 	 0.2832
706062 	 0.2095
706063 	 0.1784
706064 	 0.3115
706065 	 1.4442
706066 	 0.6230
706067 	 0.3115
706068 	 0.2379
706069 	 0.1926
706070 	 0.1699
706071 	 0.1614
706072 	 0.1529
706073 	 0.1501
706074 	 0.1501
706075 	 0.5097
706076 	 1.8406
706077 	 1.2176
706078 	 5.6634
706079 	 7.1075
706080 	 2.5768
706081 	 0.7362
706082 	 0.3964
706083 	 0.3115
706084 	 0.2633
706085 	 0.2379
706086 	 0.2180
706087 	 0.2067
706088 	 0.1897
706089 	 0.1784
706090 	 0.2577
706091 	 0.7079
706092 	 0.4814
706093 	 0.2549
706094 	 0.3681
706095 	 0.4248
706096 	 0.6230
706097 	 0.3115
706098 	 0.7079
706099 	 0.3964
706100 	 0.2407
706101 	 1.3592
706102 	 0.7929
706103 	 0.3681
706104 	 0.2407
706105 	 0.2180
706106 	 1.9822
706107 	 0.5663
706108 	 0.3115
706109 	 0.2407
706110 	 0.2180
706111 	 0.2067
706112 	 0.1897
706113 	 0.2067
706114 	 0.2010
706115 	 0.1699
706116 	 0.1614
706117 	 0.1586
706118 	 0.5380
706119 	 0.1784
706120 	 0.1614
706121 	 0.1897
706122 	 0.1671
706123 	 0.1529
706124 	 0.1501
706125 	 0.1897
706126 	 0.2095
706127 	 0.1699
706128 	 0.1529
706129 	 0.1501
706130 	 0.1388
706131 	 0.1388
706132 	 0.1388
706133 	 0.1784
706134 	 0.1756
706135 	 0.1614
706136 	 0.1501
706137 	 0.1444
706138 	 0.1388
706139 	 0.1303
706140 	 0.1274
706141 	 0.1274
706142 	 0.1274
706143 	 0.1359
706144 	 0.3964
706145 	 0.9628
706146 	 0.4814
706147 	 0.2633
706148 	 0.2237
706149 	 0.9061
706150 	 0.3398
706151 	 0.3681
706152 	 0.2095
706153 	 0.2180
706154 	 0.4248
706155 	 0.2379
706156 	 0.1756
706157 	 0.1586
706158 	 0.1501
706159 	 0.1388
706160 	 0.1359
706161 	 0.1303
706162 	 0.1303
706163 	 0.1359
706164 	 0.1388
706165 	 0.1303
706166 	 0.1274
706167 	 0.1359
706168 	 0.1359
706169 	 0.1274
706170 	 0.1274
706171 	 0.1359
706172 	 0.4531
706173 	 0.2180
706174 	 0.1501
706175 	 0.1388
706176 	 0.1303
706177 	 0.1274
706178 	 0.1274
706179 	 0.1274
706180 	 0.1274
706181 	 0.1274
706182 	 0.1274
706183 	 0.1274
706184 	 0.1218
706185 	 0.1218
706186 	 0.1274
706187 	 0.1671
706188 	 0.2832
706189 	 0.1841
706190 	 0.1388
706191 	 0.1926
706192 	 0.7929
706193 	 0.3115
706194 	 0.2464
706195 	 0.9061
706196 	 0.6230
706197 	 1.0477
706198 	 0.4248
706199 	 0.6796
706200 	 0.3398
706201 	 0.3681
706202 	 0.2180
706203 	 0.2095
706204 	 0.2265
706205 	 0.3115
706206 	 0.2633
706207 	 0.2379
706208 	 0.1982
706209 	 0.2718
706210 	 0.1926
706211 	 0.2718
706212 	 0.7079
706213 	 0.5380
706214 	 0.3115
706215 	 0.2322
706216 	 0.2180
706217 	 0.5380
706218 	 0.4814
706219 	 0.3681
706220 	 0.3398
706221 	 0.4248
706222 	 0.3964
706223 	 0.2832
706224 	 0.4814
706225 	 0.4248
706226 	 0.2464
706227 	 0.2322
706228 	 0.2067
706229 	 0.2747
706230 	 0.2322
706231 	 0.5663
706232 	 0.3681
706233 	 0.2322
706234 	 0.1926
706235 	 0.1926
706236 	 0.2095
706237 	 0.1784
706238 	 0.1699
706239 	 0.1586
706240 	 0.1529
706241 	 0.1529
706242 	 0.1671
706243 	 0.1784
706244 	 0.1529
706245 	 0.1897
706246 	 0.1756
706247 	 0.1501
706248 	 0.1444
706249 	 0.1444
706250 	 0.1388
706251 	 0.1388
706252 	 0.1501
706253 	 0.1388
706254 	 0.1897
706255 	 0.2407
706256 	 0.2067
706257 	 0.2010
706258 	 0.1671
706259 	 0.2265
706260 	 0.1671
706261 	 0.1784
706262 	 0.2152
706263 	 0.2662
706264 	 0.1671
706265 	 0.1501
706266 	 0.1388
706267 	 0.1388
706268 	 0.1756
706269 	 0.1699
706270 	 0.1841
706271 	 0.1614
706272 	 0.1501
706273 	 0.3115
706274 	 0.2180
706275 	 0.3681
706276 	 0.2407
706277 	 0.1699
706278 	 0.1586
706279 	 0.1926
706280 	 0.1671
706281 	 0.1501
706282 	 0.1388
706283 	 0.1359
706284 	 0.1274
706285 	 0.1359
706286 	 0.1388
706287 	 0.1303
706288 	 0.1274
706289 	 0.1303
706290 	 0.1274
706291 	 0.1274
706292 	 0.1699
706293 	 0.2549
706294 	 0.2747
706295 	 0.2492
706296 	 0.1784
706297 	 0.1529
706298 	 0.1388
706299 	 0.1303
706300 	 0.1303
706301 	 0.1388
706302 	 0.1501
706303 	 0.1359
706304 	 0.1274
706305 	 0.1274
706306 	 0.1218
706307 	 0.1189
706308 	 0.1189
706309 	 0.1189
706310 	 0.1189
706311 	 0.1189
706312 	 0.1133
706313 	 0.1133
706314 	 0.1133
706315 	 0.1133
706316 	 0.1133
706317 	 0.1189
706318 	 0.1133
706319 	 1.1893
706320 	 0.2633
706321 	 0.2067
706322 	 0.6796
706323 	 0.4814
706324 	 0.3115
706325 	 0.1897
706326 	 0.1586
706327 	 0.2718
706328 	 0.2265
706329 	 0.1756
706330 	 0.1501
706331 	 0.1501
706332 	 0.1388
706333 	 0.1303
706334 	 0.1274
706335 	 0.1274
706336 	 0.1274
706337 	 0.1218
706338 	 0.1218
706339 	 0.1218
706340 	 0.1218
706341 	 0.1189
706342 	 0.1189
706343 	 3.1149
706344 	 0.3115
706345 	 0.2095
706346 	 0.1841
706347 	 0.1586
706348 	 0.1444
