	b_pdf	mu_fix_theory	mu_pdf_theory	mu_sample	nu_fix	nu_pdf
USGS16020000_yr	1.69673714671			0.553682262649	1.18017997724	1.21634699193
USGS16031000_dry	1.56389931341			1.64775527652	4.31456010528	4.83346169773
USGS16017000_yr	1.89646590068			0.801259085886	2.1686109215	3.17345296683
USGS16031001_yr	1.74673315171			5.99356845768	3.65256250209	4.17926746304
USGS16015000_yr	1.85820692837			0.269884741784	0.999943786124	1.22116687045
USGS16117000_yr	3.33642082798			0.203665039334	0.477426201803	0.384258582583
USGS16037100_dry	2.059278922			1.81055497018	1.81851461978	2.64018398147
USGS16047000_yr	1.71281563455			2.54149236641	3.37631052673	3.13185156874
USGS16105000_yr	2.53663282728			0.896274650322	0.552036474224	0.770712308332
USGS16108000_yr	2.60852074683			3.83487402738	0.976720960509	0.891362766714
