	0
0	0.7362
1	1.1893
2	0.3398
3	0.2718
4	0.2322
5	0.1982
6	0.1642
7	0.1642
8	0.1642
9	0.1982
10	0.3115
11	0.1982
12	0.1642
13	0.1642
14	0.1642
15	0.1642
16	0.1642
17	0.1359
18	0.1359
19	0.1076
20	0.1076
21	0.1076
22	0.1076
23	0.085
24	0.085
25	0.085
26	0.085
27	0.085
28	0.1076
29	0.085
30	0.085
31	0.085
32	0.085
33	0.085
34	0.085
35	0.085
36	0.0651
37	0.0651
38	0.0651
39	0.0651
40	0.0651
41	0.0651
42	0.0651
43	0.0651
44	0.0651
45	0.0651
46	0.0651
47	0.0651
48	0.085
49	0.085
50	0.2322
51	0.1642
52	0.1982
53	0.1359
54	0.1076
55	0.1642
56	0.1076
57	0.085
58	0.085
59	0.1359
60	0.1076
61	0.1642
62	0.1359
63	0.1642
64	0.1359
65	0.1671
66	0.1982
67	0.3398
68	0.1642
69	0.4531
70	0.1982
71	0.1982
72	0.4531
73	0.2322
74	0.1982
75	0.3115
76	0.1982
77	0.2322
78	0.2322
79	0.3398
80	0.3964
81	0.3115
82	0.1642
83	0.1359
84	0.1076
85	0.1076
86	0.1642
87	0.6513
88	0.3115
89	0.5097
90	0.2322
91	0.1642
92	0.1642
93	0.1359
94	0.1359
95	0.1076
96	0.085
97	0.085
98	0.085
99	0.085
100	0.085
101	0.0651
102	0.0651
103	0.0651
104	0.085
105	0.1982
106	0.1359
107	0.1642
108	0.085
109	0.1076
110	0.1076
111	0.1076
112	0.1359
113	0.5663
114	0.3964
115	0.4531
116	0.2322
117	0.1359
118	0.085
119	0.085
120	0.1076
121	0.1076
122	0.1076
123	0.1076
124	0.1359
125	0.085
126	0.1359
127	0.1359
128	0.1359
129	0.085
130	0.085
131	0.1359
132	0.1642
133	0.1076
134	0.085
135	0.085
136	0.0453
137	0.085
138	0.2718
139	0.1359
140	0.1076
141	0.0651
142	0.085
143	0.085
144	0.085
145	0.0651
146	0.085
147	0.085
148	0.0651
149	0.0651
150	0.0651
151	0.1076
152	0.1642
153	0.1076
154	0.085
155	0.0651
156	0.0651
157	0.0651
158	0.0453
159	0.0453
160	0.0453
161	0.0453
162	0.0453
163	0.0283
164	0.0283
165	0.0283
166	0.0453
167	0.0651
168	0.1359
169	0.085
170	0.0651
171	0.0453
172	0.085
173	0.2322
174	0.1076
175	0.1359
176	0.2322
177	0.3115
178	0.3964
179	0.1982
180	0.5097
181	0.1982
182	0.1359
183	0.1642
184	0.1982
185	0.1359
186	0.1642
187	0.1359
188	0.1104
189	0.085
190	0.0651
191	0.0651
192	0.0453
193	0.0453
194	0.0453
195	0.0651
196	0.3398
197	0.1359
198	0.085
199	0.085
200	0.0651
201	0.0453
202	0.0453
203	0.0453
204	0.0283
205	0.0283
206	0.0453
207	0.0283
208	0.017
209	0.0283
210	0.0283
211	0.0283
212	0.0283
213	0.0283
214	0.0283
215	0.0651
216	0.085
217	0.1982
218	1.076
219	0.1642
220	0.1076
221	0.085
222	0.0651
223	0.0651
224	0.0283
225	0.085
226	0.0651
227	0.0453
228	0.0453
229	0.0453
230	0.0453
231	0.0453
232	0.5663
233	0.2718
234	0.1416
235	0.1416
236	0.1416
237	2.8317
238	2.8317
239	2.8317
240	6.5129
241	1.4158
242	1.4158
243	2.8317
244	2.8317
245	0.5663
246	0.5663
247	0.3964
248	0.3398
249	0.2832
250	0.2549
251	0.2265
